family,group,n,regime,best_rival,gap,half_width,best_rival_incl_hidden,gap_incl_hidden
RouterBench replay,all shapes pooled,1000000,beta025_cartel,warm_start_bandit,0.0017166666666665886,0.0037314043809957786,sequential_halving_peer,-0.031876666666666775
RouterEval,all_strong,100,cartel,mlp_router,0.0020000000000000018,0.035302266216207655,mlp_router,0.0020000000000000018
live,specialist,10000,beta025_random,warm_start_bandit,0.002777777777777768,0.05270462766947301,sequential_halving_peer,-0.05999999999999994
live,specialist,1000,beta025_random,flat_probe_argmax_online,0.0030999999999998806,0.011731160495130089,sequential_halving,-0.07069999999999999
RouterEval,all_strong,100,beta05_random,mlp_router,0.0044000000000000705,0.03567408022640526,mlp_router,0.0044000000000000705
live,specialist,1000,beta025_cartel,flat_probe_argmax_online,0.006299999999999972,0.00945920888935758,sequential_halving,-0.06629999999999991
bernoulli,specialist,10000000,beta025_cartel,warm_start_bandit,0.00727000000000011,0.004220327601324475,sequential_halving_peer,-0.05952999999999997
RouterEval,all_weak,5000,beta025_random,warm_start_bandit,0.010000000000000009,0.052941267247562006,sequential_halving,-0.1744444444444444
RouterEval,strong_to_weak,5000,beta025_random,warm_start_bandit,0.010000000000000009,0.052941267247562006,sequential_halving,-0.1744444444444444
RouterEval,all_strong,5000,beta025_random,warm_start_bandit,0.010000000000000009,0.052941267247562006,sequential_halving,-0.1744444444444444
live,specialist,1000,beta01_random,flat_probe_argmax_online,0.010599999999999943,0.013753635882922013,sequential_halving,-0.06229999999999991
RouterEval,all_strong,100,beta025_cartel,mlp_router,0.01079999999999992,0.0346538598138793,mlp_router,0.01079999999999992
live,specialist,10000,beta025_cartel,flat_probe_argmax_online,0.012222222222222245,0.08013876853447535,sequential_halving_peer,-0.0722222222222223
RouterBench replay,all shapes pooled,100000,beta025_random,warm_start_bandit,0.012506666666666555,0.002506301622927017,sequential_halving_peer,-0.03401333333333356
RouterBench replay,all shapes pooled,10000,beta025_random,warm_start_bandit,0.013301333333333165,0.001178908941358017,sequential_halving_peer,-0.03729166666666661
RouterBench replay,all shapes pooled,1000,beta025_random,verify_on_claim,0.013548333333333162,0.0012695327978126693,sequential_halving_peer,-0.04033466666666685
bernoulli,specialist,10000,cartel,warm_start_bandit,0.014564000000000132,0.0013802436073479694,warm_start_bandit,0.014564000000000132
RouterBench replay,all shapes pooled,100000,beta05_random,warm_start_bandit,0.014831666666666576,0.002576721213442697,sequential_halving_peer,-0.0192500000000001
RouterBench replay,all shapes pooled,1000,beta05_random,verify_on_claim,0.014851333333333216,0.00129217441854858,verify_on_claim,0.014851333333333216
RouterBench replay,all shapes pooled,1000000,beta025_random,warm_start_bandit,0.014866666666666584,0.003800138574319165,sequential_halving_peer,-0.03176333333333359
RouterBench replay,all shapes pooled,10000,beta05_random,warm_start_bandit,0.015369666666666726,0.0011921361005448258,sequential_halving_peer,-0.009896666666666665
bernoulli,specialist,1000,cartel,flat_probe_argmax_online,0.01576500000000003,0.0014738400081186498,flat_probe_argmax_online,0.01576500000000003
