family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds,rerun_outstanding
live,beta01_random,heavy_tail,100,llama,embed,0.5958,0.5886169953671492,0.6029830046328508,10,False
live,beta01_random,heavy_tail,100,maf,embed,0.6631,0.658139153298075,0.668060846701925,10,False
live,beta01_random,heavy_tail,100,magentic,embed,0.664,0.6580839202169004,0.6699160797830996,10,False
live,beta01_random,heavy_tail,100,openai,embed,0.6546000000000001,0.6495443101360943,0.6596556898639059,10,False
live,beta01_random,heavy_tail,100,smol,embed,0.6661,0.6607719818151795,0.6714280181848206,10,False
live,beta01_random,heavy_tail,100,autogen,sota,0.6274000000000001,0.6211974915468731,0.633602508453127,10,False
live,beta01_random,heavy_tail,100,camel,sota,0.6415,0.6331118469785588,0.6498881530214411,10,False
live,beta01_random,heavy_tail,100,langgraph,sota,0.6344999999999998,0.6280445974391813,0.6409554025608184,10,False
live,beta01_random,heavy_tail,100,llama,sota,0.6224000000000001,0.6174531716109096,0.6273468283890905,10,False
live,beta01_random,heavy_tail,100,maf,sota,0.6283,0.6231466839155096,0.6334533160844903,10,False
live,beta01_random,heavy_tail,100,magentic,sota,0.64,0.6353932416796383,0.6446067583203617,10,False
live,beta01_random,heavy_tail,100,openai,sota,0.5888,0.5797879093558832,0.5978120906441168,10,False
live,beta01_random,heavy_tail,100,smol,sota,0.6012,0.5937796076773378,0.6086203923226621,10,False
live,beta01_random,heavy_tail,100,autogen,va_cohort,0.6511,0.6342744572483118,0.6679255427516883,10,False
